Prioridad,Localidad,Partido,Nombre,Tipo,Dirección,Instagram,Mail,WhatsApp/Tel,Nota,Estado (a completar)
1,Ramos Mejía,La Matanza,Rabieta Ramos Mejía,Cervecería artesanal,Necochea 115,@rabieta.ramosmejia,—,011 2157-0445,Cadena grande: salón + patio + terraza; abre hasta la madrugada los fines de semana. Mucho volumen de gente.,
1,Ramos Mejía,La Matanza,Mr Jones Blues Pub,Pub rock/blues,Saavedra 399 (esq. Necochea),@mjpub,info@mrjoneslive.com,+54 11 4469-1997,"Música en vivo, ambiente oscuro de bar clásico. Muy fílmico para escenas con banda.",
1,Ramos Mejía,La Matanza,Dubbel,Cervecería / resto-bar,Av. San Martín 1770,@dubbelcerveceria,—,— (tel. inconsistente entre fuentes),"Shows, karaoke y noches temáticas vie/sáb. Salón amplio, ambiente movido.",
1,Ramos Mejía,La Matanza,Prinston,Cervecería / bar,Mariano Moreno 272,@cerveceriaprinston,—,—,"Pub-cervecería con cocina; onda pub, mesas y buen fondo de barra.",
1,Ramos Mejía,La Matanza,Container Bar,Resto-bar / cervecería,Necochea 953,@containerbarok,—,+54 11 2722-7043,"Estética container industrial, cócteles; hasta las 03:00. Muy visual.",
1,Ramos Mejía,La Matanza,Cheka Ramos,Bar / resto-bar,Av. Leandro N. Alem 267,@cheka_ramos_mejia,cheka.ramos0k@gmail.com,4654-8071 / 11 5860-7728,"Salón grande, fuerte presencia local (40k IG). Onda de encuentro nocturno.",
1,Ramos Mejía,La Matanza,Valinor – The Irish Pub,Pub irlandés,Av. Rivadavia 14802,@valinor.irishbar,info@valinorbar.com.ar,+54 11 4654-3130,Bandas en vivo casi todas las noches + after office. Ambientación cálida.,
1,Ramos Mejía,La Matanza,Rotterdam Cervecería,Cervecería,Av. Presidente Perón 193,@rotterdamcerveceria,consultas@cerveceriarotterdam.com.ar,+54 11 2591-6700,"Carta propia, salón de mesas, pleno centro de Ramos.",
2,San Justo,La Matanza,Copper,Cervecería / bar,Comisionado José Indart 2620,@coppercerveceria,—,+54 11 6541-8031,Salón amplio; mar-dom desde las 18 h. Luz cálida y barra.,
2,San Justo,La Matanza,Bar A – Cerveza Artesanal,Cervecería,Comisionado José Indart 2285,@barasanjusto,—,+54 11 3204-9310,"Artesanal, picadas y pizzas. Sobre el corredor nocturno de Indart.",
2,San Justo,La Matanza,Quimérico,Resto-bar,Comisionado José Indart 2632,@quimericosanjusto,—,— (reservas por DM/WhatsApp),"Resto-bar-cafetería, buen caudal de noche. Misma cuadra que Copper.",
2,San Justo,La Matanza,La Josefa Resto,Resto-bar (cena show),Comisionado José Indart 2564,@lajosefa.resto,—,011 4441-1813 / WhatsApp 11 3838-9834,"Salón grande climatizado con escenario, DJ y shows. Pensado para noche.",
2,San Justo,La Matanza,Mercia Cervecería,Cervecería,Av. Presidente Perón 2775,@merciacerveceria (sin confirmar),—,+54 11 3179-5495,Artesanal con cocina; formato bar con mesas sobre Av. Perón.,
2,San Justo,La Matanza,Complejo Santa Birra,Cervecería / complejo (cena show),Av. Pte. J. D. Perón 3450,@santabirra.argentina,—,+54 11 5037-4005,"El más grande: cena show, bandas y karaoke, hasta la madrugada. Mucho espacio.",
2,San Justo,La Matanza,Juanita Resto Bar,Resto-bar,— (confirmar por DM),@juanita_resto_san_justo_,—,—,Carta de bar clásico de noche. Falta dirección pública.,
2,San Justo,La Matanza,Juanchos Cervecería Artesanal,Cervecería,— (sin altura pública),IG sin confirmar (FB: /juanchosbeerok),—,—,"Aparece en guías; datos de contacto flojos, chequear en persona.",
3,Isidro Casanova,La Matanza,Raíz Cervecería,Cervecería / resto-bar,República de Portugal 2853,@raizcerveceria,—,+54 11 3597-5270,"Primera cervecería del barrio; barra cálida, mesas dentro y en la vereda. Miér-dom desde 18 h.",
3,Isidro Casanova,La Matanza,Montana Bar,Bar cultural / rockería,República de Portugal 3214,@montana_bar_casanova,—,—,"Cantobar con escenario y bandas. Estética rockera, escenas con público.",
